Company,Type
--,Agent
10Life Group Limited,Agent
19277-4 (Aston Carter),Agent
2GoTrade Ltd,Agent
365 Technologies Holding Limited,Agent
3PL-Total Technology (HK) Limited,Agent
4S Imaging Expert Limited,Agent
A Financial Service Institution,Agent
A Match Consultant Limited,Agent
A. R. Medicom Inc. (Asia) Limited,Company
A.S. Watson Group (HK) Limited,Company
ABC Assessment Group Limited,Agent
abc Multiactive (Hong Kong) Ltd,Agent
About Social Enterprise Innovations Limited,Agent
Accenture Technology Solutions (HK) Ltd,Company
ACG (Able Communications Group),Agent
Acton Consulting Limited,Agent
ADECCO,Agent
Adel Group (Asia) Ltd,Agent
Admango.com Ltd,Agent
Advanced Card Systems Limited,Agent
Advanced Integration Systems Ltd,Agent
Advanze Solutions Limited,Agent
Aecom Asia Company Limited,Agent
"AEON CREDIT SERVICE (ASIA) CO., LTD.",Company
AFM Ltd,Agent
AfterShip Ltd.,Agent
AGA Affinity Group Asia Limited,Agent
Agile 1 Hong Kong - Asia Pacific Limited,Agent
AGroup Company,Agent
AGS Group Limited,Agent
Ahsay Systems Corporation Limited,Agent
Ai Pu Jing Software Technology (Hong Kong) Co Ltd,Agent
AIA Hong Kong and Macau,Company
AIA International Limited,Company
Aim System Ltd,Agent
aimHigher Consultancy Limited,Agent
ALBA Integrated Waste Solutions (Hong Kong) Limited,Agent
Alco Electronics Ltd,Company
Allystar Technoloy Co. Limited,Agent
AMAC Human Resources Consultants (????????) (formerly as Centaline Human Resources Consultants),Agent
Amber Road (Hong Kong) Limited,Agent
Ambi Labs Limited,Agent
Ambition,Agent
Ambitious People,Agent
AMC Systems Limited,Agent
American Phil Textiles Ltd,Company
Amino Technologies (HK) Limited,Agent
AMPD Energy Limited,Agent
Andrew Found Limited,Agent
Angliss Hong Kong Food Service Ltd,Company
ANX International Limited,Company
"Apple Service Consultancy Co., Limited",Agent
Application Technology Co Ltd,Agent
Apps1010 Limited,Agent
Appsture Technology Limited,Agent
Arcotect Ltd,Agent
Argyll Scott Asia,Agent
Aria Global Limited,Agent
Armitage Technologies Ltd,Agent
Artesyn Embedded Technologies (Hong Kong) Limited,Agent
Asia Allied Infrastructure Holdings Limited,Agent
Asia Pacific Offset Limited,Company
Asia Port Services Limited,Company
Asia Satellite Telecommunications Co Ltd,Company
AsiaHub Consulting Ltd,Agent
Asian Aim Service Ltd,Agent
AsiaPay (HK) Ltd,Company
AsiaWorld-Expo Management Limited,Company
ASM Technology Hong Kong Limited,Agent
ASM Technology Hong Kong Ltd.,Agent
Aspire,Agent
ATA - Aacurapid Talent Acquisition,Agent
ATA – Aacurapid Talent Acquisition,Agent
Attivo Consulting Limited,Agent
AutoSimply Company Limited (International Sage Software Developer),Agent
Avalon BioMedical (Management) Limited,Company
Avalon Spinecare (HK) Limited,Company
Avante Group Limited,Company
Aves Asia Limited,Agent
Axline Commercial Services Ltd,Agent
B & T Security,Company
Babelland Technology Ltd,Agent
"Banclogix System Co., Limited",Agent
Bank Consortium Trust Co. Ltd.,Company
Bank of China (Hong Kong) Limited,Company
"Bank of Communications Co., Ltd. Hong Kong Branch",Company
Bank of Communications Trustee Limited,Company
Bayou Technology Services Limited,Agent
BBPOS Limited,Agent
Beamstyle Limited,Agent
Beauty Home Group Limited,Company
Become Recruitment,Agent
Belos Capital (Asia) Limited,Agent
Belt Collins International (HK) Limited,Agent
Belton Group,Agent
Besway Asia Limited,Agent
BGC Group (HK) Limited,Agent
BIB Solutions Limited,Agent
BID N EAT Co. Limited,Agent
Bigazines Consulting Limited,Agent
BII Transit Systems (HK) Company Limited,Agent
Bindo Labs Limited,Agent
Bizspoke Technology Company Limited,Agent
Blue Ocean Lab Limited,Agent
Boardroom Share Registrars (HK) Limited,Agent
BOC Credit Card (International) Ltd,Company
BOC International Holdings Ltd,Company
BOCI-Prudential Asset Management Ltd,Company
Bond West Consultants,Agent
Borntofly Limited (CoCoon),Company
Boss Digital,Agent
Boutir Limited,Agent
BUPA Asia Limited,Company
Bureau Veritas Hong Kong Limited,Company
Businsoft Limited,Agent
BW Global (HK) Ltd,Company
Caf? de Coral Holdings Limited,Company
Canon Hongkong Company Limited,Company
Capgemini Hong Kong Limited,Agent
Capital Financial Press Limited,Agent
Captiare Limited,Agent
Carbon International Limited,Agent
Career Search AP (Hong Kong) Company,Agent
Cargo Services Far East Limited,Company
CASH  Financial Services Group Limited,Company
CASH Algo Finance Group Limited,Company
Catalo Natural Health Foods Limited,Company
Cathay Pacific Catering Services (HK) Limited,Company
Cathay Pacific Services Limited,Company
CC Information Limited,Agent
cccdi Limited,Company
Celebrate Club Limited,Agent
Celki Medical Company,Company
Centaline Data Technology Limited,Agent
Centrix Professionals - Recruitment Agency Division,Agent
Century City Holdings Limited,Company
Chain Technology Development Co. Limited,Agent
Chandler Macleod,Agent
Charterhouse Partnership,Agent
Cherrypicks Limited,Agent
Chevalier Group - Corporate Office,Company
Chief Holdings (H.K.) Limited,Company
Chief Tech Electronics Limited,Agent
China CITIC Bank International Limited,Company
China Mobile Hong Kong ??????,Company
China Mobile Hong Kong Company Limited,Company
China Mobile International Limited,Company
China Resources Logistics (Group) Limited,Company
China Securities (International) Finance Holding Company Limited,Company
China Taiping Life Insurance (Hong Kong) Company Limited,Company
China Telecom Global Limited,Company
Chinaoil (Hong Kong) Corporation Ltd.,Company
Chong Hing Bank Ltd,Company
Chow Sang Sang Holdings International Limited,Company
Chow Sang Sang Securities Ltd,Company
CHOW TAI FOOK JEWELLERY CO LTD,Company
Christelle Limited,Company
Circus Limited,Company
"CISD (Asia) Co., Ltd.",Company
CITIC Securities Brokerage (HK) Limited,Company
CITIC Telecom International Holdings Limited,Company
City Computing Limited,Agent
City Super Ltd,Company
Cityline (Hong Kong) Limited,Company
CK Hutchison Holdings Limited,Company
CL Smart Sourcing Limited,Agent
CL Technical Services Ltd.,Agent
Claremont Consulting APAC Limited,Agent
Classroom Publications Ltd,Agent
Classy Wheeler Limited,Agent
ClinicOne Healthcare Solutions Limited,Agent
CLP Holdings Limited,Company
CMB International Capital Corporation Limited,Company
Coagenc Limited,Agent
Cognizant Technology Solutions Hong Kong Limited,Agent
Cogs Agency (Hong Kong) Limited,Agent
Colourmix Cosmetics Company Limited,Company
Compass Offices,Agent
Computer And Technologies Resources Limited,Agent
Computer Recruitment Consultants Ltd,Agent
ConnectedGroup Limited,Agent
Conners Consulting Limited,Agent
Consumer Council,Agent
Continuous Technologies International Ltd,Agent
Convenience Retail Asia Ltd,Company
Convoy Global Holdings Limited,Company
Convoy Payments Limited,Company
Cordex Intelligence Limited,
Core Pacific - Yamaichi Int'l (H.K.) Ltd,
Cornerstone Global Partners,
Cosme De Net Company Limited,
Coulla Limited,
Creasant Digital Limited,
Creative Design Ltd,
Crecon Limited,
Creote Studio Limited,
Crestron ANZ Pty Limited,
Crossings Executive Search,
csl.,
"D. S. Cheung & Co., Solicitors",
Dah Chong Hong Holdings  Limited,
Dah Sing Financial Group,
Damco Hong Kong Limited,
Dataplugs Limited,
David Hall Personnel Consultant,
David James Recruitment Limited,
DB Power Online Limited,
DBS Bank Ltd,
DDB Worldwide Limited,
Deloitte Touche Tohmatsu,
Delta Connect Hong Kong Limited,
Derivco Hong Kong,
Designercity (HK) Ltd ? Mirum Hong Kong,
DHL EXPRESS (HONG KONG) LIMITED,
Dickson Concepts Ltd,
Digitcube.com Limited,
DJRecruit Asia Limited,
DNA Recruit Partners Limited,
Don Nelson Recruitment Limited,
Dow Jones & Co,
Drake International and Vertical Talent HK,
Drake Overload Ltd,
DynaSys Solutions Limited,
EAB Systems,
Eagle Consultants Ltd,
Eagle Group International Limited,
Eastwood Consultants Ltd,
Easy Services HR Consultancy Limited,
EB Services Limited,
eBay International Hong Kong Limited,
Ebro Executive Search Limited,
E-Business Solutions Limited,
Eclipse Trading,
EDPS Systems Limited,
